zone,seq,ts,severity,detector,diagnosis,action,n_triggered,trigger_sensors
Zone-A,0,1780126951.86132,Critical,hard+iforest,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-A,1,1780126951.861356,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,2,1780126951.8613691,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,3,1780126951.8613791,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,4,1780126951.861387,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,5,1780126951.861395,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,6,1780126951.861403,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-A,7,1780126951.861415,Warning,zscore,Elevated CO₂ — ventilation review,Raise outdoor-air damper position and verify exhaust-fan status.,1,co2
Zone-A,8,1780126951.861423,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,9,1780126951.86143,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,10,1780126951.8614368,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,11,1780126951.8614452,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,12,1780126951.861452,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,13,1780126951.861459,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,14,1780126951.8614662,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,15,1780126951.8614721,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,16,1780126951.8614779,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,17,1780126951.861485,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,18,1780126951.861492,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,19,1780126951.861502,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,20,1780126951.861509,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,21,1780126951.861516,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,22,1780126951.861523,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,23,1780126951.86153,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,24,1780126951.861537,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,25,1780126951.861544,Critical,hard+iforest,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,26,1780126951.8615508,Critical,zscore,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,27,1780126951.861558,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,28,1780126951.8615649,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,29,1780126951.8615732,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,30,1780126951.8615801,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,31,1780126951.861587,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,32,1780126951.861595,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-A,33,1780126951.8616052,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,34,1780126951.861613,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,35,1780126951.86162,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,36,1780126951.8616269,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,37,1780126951.861634,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,38,1780126951.861641,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,39,1780126951.8616478,Warning,zscore,Unclassified anomaly,Review the listed sensor trip values and follow zone runbook.,1,co2
Zone-A,40,1780126951.8616529,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,41,1780126951.8616579,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,42,1780126951.8616629,Normal,none,All sensors within nominal operating range.,No action required.,0,
